zipcode,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation,Cluster
11101,664643.75,46327,34.1,34.1,0.286566355,0.759810208,0
11102,581970.5,38734,32.9,34.6,0.32026504699999997,0.7207261359999999,0
11103,571678.0,39470,34.4,33.4,0.336004996,0.731398707,0
11105,656673.6667,40501,35.1,35.7,0.311188335,0.641028016,0
11106,508554.5833,37016,35.3,35.8,0.336691939,0.723591798,0
11201,976577.1667,83309,35.1,35.2,0.356728709,0.68449228,1
11203,519021.3333,25917,36.3,42.5,0.157450265,0.601068177,0
11204,751895.5,22425,33.3,36.3,0.18664916199999998,0.525497452,1
11205,694686.6667,31851,28.9,30.8,0.259357608,0.596962506,0
11206,636296.4167,22147,27.7,30.9,0.205030716,0.669049065,0
11207,427571.75,20285,32.0,35.7,0.109454215,0.68128655,0
11208,464138.0,19195,30.8,33.7,0.106047583,0.662223924,0
11209,468544.1667,43049,39.1,42.1,0.284087551,0.577211127,0
11210,620948.4167,30110,33.9,36.9,0.206584247,0.552514449,0
11211,854564.25,42580,31.0,30.5,0.327428338,0.6251380089999999,1
11212,426505.5,18772,32.9,40.2,0.104614746,0.674312446,0
11213,639832.0833,23547,30.4,35.9,0.179448065,0.654250105,0
11214,445717.25,25960,37.9,41.1,0.20629795899999998,0.5893218929999999,0
11215,1117417.3329999999,70556,36.1,35.9,0.36227912100000004,0.676745843,1
11216,825523.3333,38741,33.2,35.1,0.289290323,0.7237762240000001,1
11217,1146125.5829999999,67630,35.2,34.8,0.332066147,0.722256473,1
11218,580771.0,31494,32.8,35.3,0.240798918,0.610363351,0
11219,727409.0833,16398,27.2,28.6,0.12055162900000001,0.400111989,0
11220,523910.6667,20151,33.5,35.1,0.13887608699999998,0.615028632,0
11221,726806.9167,27350,30.3,33.5,0.21005659899999998,0.68456691,0
11222,909138.8333,51177,35.2,34.3,0.390926865,0.65719738,1
11223,633049.5,26454,34.6,38.5,0.19937904,0.5544838910000001,0
11224,451152.0,22454,41.9,48.0,0.20492988899999998,0.566083097,0
11225,679112.1667,34358,33.0,36.6,0.225926703,0.72778101,0
11226,591679.75,26057,33.0,36.3,0.18662218100000003,0.728057885,0
11228,882899.4167,32795,39.3,42.4,0.215232302,0.4748,1
11229,486128.5,31040,38.6,43.0,0.226404875,0.5135361279999999,0
11230,448554.9167,27187,32.7,34.8,0.23173471199999998,0.505064676,0
