Zip Code,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Median Home Value,Public transportation
45154,24270.0,38.0,38.0,0.06889424733034792,135200,0.008174386920980926
45155,15520.0,36.2,33.9,0.06172839506172839,72500,0.0
45156,26011.0,57.8,45.5,0.3018867924528302,99000,0.0
45157,29600.0,38.2,39.4,0.14798662596307602,166200,0.0010656436487638534
45158,21817.0,45.6,33.9,0.06719367588932806,76100,0.0
45159,25520.0,37.7,37.1,0.07346264960792406,115500,0.0
45160,20418.0,43.3,53.0,0.09940652818991098,118000,0.0
45162,33281.0,49.1,48.6,0.13485477178423236,183000,0.03230437903804738
45164,18714.0,31.7,29.5,0.08496732026143791,69400,0.0
45166,26207.0,8.8,-666666666.0,0.0,-666666666,0.0
45167,24349.0,46.2,49.5,0.11829134720700986,137300,0.0
45168,20443.0,39.7,42.3,0.0686184812442818,98800,0.0
45169,24796.0,40.7,46.2,0.11107634543178974,99900,0.0035052578868302454
45171,29500.0,37.6,41.6,0.14873338349636317,151000,0.006651017214397496
45172,17566.0,22.8,29.7,0.07058823529411765,81800,0.0
45174,75337.0,39.4,42.0,0.4483457123565159,503600,0.006635071090047393
45176,25862.0,41.9,40.3,0.08710217755443886,139300,0.003400534369686665
45177,28576.0,38.6,42.9,0.15876603949205506,139500,0.0060264385692068425
45202,57041.0,35.5,32.8,0.35325838588794445,358000,0.05089605734767025
45203,22056.0,24.9,32.4,0.159804605722261,173600,0.19744058500914077
45204,20667.0,33.0,31.1,0.11815885489755824,68200,0.0823575331772053
45205,15297.0,27.4,29.9,0.11830726770929163,68100,0.1153356890459364
45206,37212.0,38.1,41.0,0.24421719016313612,193400,0.1080146069575245
45207,16856.0,21.8,27.5,0.11529614721104083,82000,0.1472005932517612
45208,72341.0,34.4,37.2,0.3929200940070505,367600,0.011609836365298474
45209,47044.0,31.7,31.1,0.3882871086775384,247700,0.028270367514777694
45211,24013.0,32.7,36.2,0.1496546431312356,106700,0.05794854123592925
45212,28797.0,31.7,34.7,0.2087679915489238,132000,0.03969320787538547
45213,33579.0,36.9,43.0,0.250458023493911,158000,0.0377906976744186
45214,14533.0,34.8,30.3,0.08081226688769166,70200,0.20046082949308755
45215,33605.0,35.9,40.2,0.18697087100014348,146400,0.012904150835185318
45216,19933.0,34.9,38.8,0.07793488983886879,76700,0.051338737410955536
45217,27394.0,34.5,35.9,0.14337375026590088,107200,0.05413533834586466
45218,30046.0,35.1,44.0,0.22737556561085973,120400,0.0
45219,14525.0,21.7,21.5,0.211717466691002,104500,0.05331945408281286
45220,34472.0,28.9,28.2,0.2965277777777778,248100,0.06616108786610879
45223,26004.0,32.8,33.8,0.22443706164636398,119200,0.11226367743014891
45224,27570.0,37.3,45.9,0.19335548172757475,115100,0.06765578635014836
45225,10123.0,27.5,24.4,0.036921151439299124,56400,0.24615384615384617
45226,63947.0,31.7,30.9,0.4134332352154134,301300,0.01701492537313433
45227,36662.0,34.5,38.5,0.2716003005259204,135400,0.029695458979083125
45229,19766.0,36.0,32.6,0.12971971276349317,127900,0.13414634146341464
45230,39169.0,37.0,39.5,0.311459097098565,164900,0.01961061946902655
45231,27031.0,37.6,42.9,0.15689932689493707,107100,0.026896850308474943
45232,11992.0,16.3,26.1,0.1069144075540664,82300,0.1889908256880734
45233,36385.0,40.7,48.6,0.2612498872756786,201500,0.017051153460381142
45236,36822.0,39.9,42.2,0.2464959717470478,143000,0.021389178715158743
45237,24755.0,36.1,48.1,0.1493992932862191,100600,0.07236762754794356
45238,27186.0,33.8,37.4,0.1666338776313201,119200,0.04307286455016829
45239,24784.0,33.1,39.4,0.1413643827436931,116000,0.02112272662179579
45240,27431.0,31.4,39.3,0.18603719599427754,121200,0.01995766555790747
45241,44283.0,42.6,49.6,0.2987641950567802,207100,0.002293759392549237
45242,54116.0,40.8,44.1,0.31752800407331977,300000,0.0026136469709698495
45243,71619.0,45.7,45.3,0.39378870332144866,406300,0.0029391182645206438
45244,44132.0,39.2,39.9,0.30622489959839355,243900,0.0015280506439641999
45245,34671.0,38.5,43.3,0.22381342062193127,165400,0.004735745406326956
45246,34719.0,42.2,42.3,0.21712046619109815,133300,0.028006088280060883
45247,40125.0,44.5,46.7,0.24042565983286238,190800,0.001284796573875803
45248,36436.0,38.2,41.0,0.2261696418154241,143000,0.008346094946401225
45249,50220.0,37.3,40.0,0.3271759208953602,329100,0.005157131345688961
45251,30061.0,38.2,40.1,0.15618122977346277,116700,0.008274231678486997
45252,48696.0,51.3,53.8,0.2579902101929168,186400,0.0
45255,41199.0,40.2,43.8,0.29836349121873335,196400,0.015487368115380892
45301,17426.0,9.5,23.0,0.5,-666666666,0.0
45302,32870.0,31.6,37.0,0.1702774610414291,188800,0.0
45303,22417.0,37.0,36.4,0.10560093348891482,91200,0.0032976092333058533
45304,28009.0,39.9,42.2,0.10609806345282241,126700,0.0030219088390833542
45305,43994.0,41.3,41.1,0.30401135044498906,207600,0.003907637655417406
45306,30218.0,39.0,46.2,0.10603290676416818,148600,0.0
45307,18409.0,36.5,43.3,0.07142857142857142,78800,0.006756756756756757
45308,26801.0,41.5,44.8,0.07491166077738516,106900,0.0
45309,32710.0,45.8,48.1,0.14952757635684466,147700,0.0
45310,40279.0,35.2,36.5,0.14917127071823205,104300,0.0
45311,26311.0,42.3,43.1,0.07840828820343772,130400,0.006795422031473534
45312,34267.0,50.2,49.9,0.1043010752688172,170700,0.01977401129943503
45314,23685.0,22.6,21.4,0.2533003300330033,193100,0.004953998584571833
45315,34523.0,47.1,49.8,0.17286501377410468,163300,0.00646551724137931
45316,27615.0,39.4,41.5,0.24050632911392406,108300,0.0
45317,18516.0,34.4,40.8,0.0361794500723589,123500,0.02018348623853211
45318,25482.0,41.9,41.1,0.07277556440903055,146500,0.002451982018798529
45319,27630.0,43.1,38.0,0.11475409836065574,125000,0.0
45320,26931.0,39.9,44.9,0.11647379809953899,119000,0.0
45321,26999.0,42.7,45.7,0.12033898305084746,92900,0.0
45322,31286.0,39.9,44.0,0.17372378314206569,117000,0.006209974771977489
45323,34682.0,46.0,47.3,0.14465937762825903,133100,0.011889035667107
45324,26515.0,31.6,32.1,0.1742325652606599,118700,0.006822661343306211
45325,31675.0,46.4,50.0,0.11768018018018019,154100,0.0020639834881320948
45326,26405.0,36.5,33.8,0.09545454545454546,119400,0.0
45327,30026.0,41.4,44.8,0.1575917859365277,155300,0.0
45328,17510.0,30.0,37.2,0.0584958217270195,80000,0.0
45330,29541.0,35.8,41.7,0.08455284552845528,88100,0.0
45331,26044.0,44.1,48.1,0.09965484781926577,108500,0.007318560683065664
45332,24322.0,33.8,38.4,0.04149377593360996,111800,0.0
45333,27073.0,39.5,43.7,0.015789473684210527,165600,0.0
45334,27186.0,37.1,42.5,0.10471567267683772,99900,0.0
45335,29056.0,42.2,46.1,0.08732737611697806,143200,0.0012795905310300703
45336,25542.0,37.8,34.7,0.06796116504854369,106300,0.0
45337,27979.0,44.8,47.5,0.06299782766111513,164600,0.017391304347826087
45338,29162.0,44.4,43.8,0.13561721404303512,137600,0.0
45339,26772.0,57.7,52.3,0.0916030534351145,141700,0.0
45340,24649.0,47.7,27.7,0.0625,149700,0.0
45341,21720.0,49.5,40.9,0.06491164803461955,82700,0.0
45342,33143.0,38.5,40.4,0.19336451904555996,144700,0.010514846090983384
45344,26279.0,36.0,42.5,0.13403978434653283,108500,0.001632289657219172
45345,24014.0,36.7,42.5,0.05538240230160633,101400,0.0
45346,27738.0,46.8,47.8,0.09915014164305949,89700,0.0
45347,25774.0,42.5,40.1,0.10757231069223269,97900,0.0013556258472661546
45348,22237.0,39.7,36.1,0.09188361408882083,159000,0.0
45349,24771.0,36.8,40.5,0.06926406926406926,102000,0.0
45350,26698.0,20.8,26.3,0.25,128100,0.0
45351,27563.0,27.5,55.5,0.0948905109489051,151300,0.0
45352,22236.0,31.4,32.5,0.013986013986013986,58800,0.0
45353,23363.0,45.4,42.3,0.05357142857142857,162500,0.0
45354,22616.0,42.3,37.8,0.08387096774193549,79300,0.03017241379310345
45356,24314.0,39.1,42.3,0.09734362583721194,93300,0.0037187009338071233
45358,28742.0,32.8,39.5,0.06572769953051644,98100,0.0
45359,25656.0,43.6,41.4,0.10029940119760479,130800,0.014130434782608696
45360,21317.0,42.5,31.9,0.0576271186440678,59000,0.0
45361,20548.0,35.5,38.5,0.041474654377880185,102300,0.0
45362,25082.0,40.3,50.2,0.06716417910447761,145100,0.006993006993006993
45363,33941.0,32.5,40.6,0.13719806763285025,172600,0.0
45365,27867.0,37.5,41.0,0.09806083078619031,125900,0.0037912125110012864
45368,25415.0,42.5,39.8,0.09163939303778637,123900,0.003200731595793324
45369,30400.0,42.7,41.5,0.15047540305911533,157400,0.0
45370,38858.0,45.1,46.4,0.22643614054657,255700,0.0
45371,36788.0,40.7,43.6,0.18092152627789776,178300,0.0006073489219556636
45372,25755.0,42.1,40.9,0.0892018779342723,88200,0.006211180124223602
45373,31306.0,38.5,42.2,0.17812474454344804,150600,0.0035059486177366514
45377,33001.0,42.0,46.7,0.16719101123595506,143500,0.007738392411382925
45378,22248.0,33.3,44.3,0.036,71700,0.0
45380,30788.0,38.0,39.8,0.13372434017595308,149600,0.0
45381,25471.0,39.6,43.6,0.0827250608272506,128700,0.0
45382,25235.0,37.0,42.4,0.05137844611528822,99800,0.0
45383,26005.0,44.6,45.6,0.12159533073929961,132300,0.0
45384,7159.0,20.0,19.7,0.05172413793103448,115700,0.0
45385,30904.0,40.5,44.4,0.14726806013934726,134500,0.005562866371575547
45387,43445.0,46.5,52.7,0.25732977950084807,226400,0.0007867820613690008
45388,35344.0,24.6,32.8,0.1630901287553648,169300,0.0022624434389140274
45389,20686.0,37.2,40.6,0.06840390879478828,77700,0.0
45390,20266.0,36.5,36.4,0.031507513330101794,77800,0.0047457627118644066
45402,20199.0,35.1,34.4,0.11730713666570355,57600,0.10557103064066853
45403,15592.0,33.8,34.3,0.06872114248899389,52500,0.09474292316580012
45404,15381.0,29.5,35.4,0.03859234067721425,59700,0.005379098360655738
45405,20185.0,37.7,40.2,0.09820962975838693,60400,0.10156782549420586
45406,19386.0,39.0,42.4,0.11069098457888493,60000,0.1326557903182669
45409,18585.0,20.8,21.2,0.30648373533967693,160600,0.004374717151908282
45410,20368.0,34.4,35.7,0.1079555635190826,69200,0.037250107867107723
45414,27276.0,39.1,42.7,0.14535300014320493,111100,0.021671826625386997
45415,31465.0,37.6,47.1,0.19311703120140977,121000,0.02306112778392039
45416,23062.0,47.2,51.3,0.08202866593164278,65200,0.05488721804511278
45417,15103.0,35.2,40.1,0.06359333196130891,49900,0.10572687224669604
45418,24118.0,39.3,36.4,0.14796747967479676,115100,0.0
45419,46363.0,38.8,39.5,0.2755733181082881,157700,0.016034415330465387
45420,24583.0,35.4,39.5,0.13906581740976645,82400,0.020023656640757014
45424,28924.0,37.1,38.7,0.1572610321175189,118000,0.011453054834589874
45426,21299.0,35.7,42.5,0.10022628700735432,79200,0.06026307739369838
45428,21561.0,66.7,61.3,0.1299093655589124,-666666666,0.0
45429,40071.0,41.7,46.8,0.23356069487370776,144000,0.00727857799570947
45430,40521.0,46.1,45.4,0.2489563567362429,171100,0.0
45431,35731.0,32.5,37.0,0.1902722706846418,138000,0.006063597264330536
45432,32350.0,41.9,42.6,0.13942836203737632,120700,0.004705882352941176
45433,28523.0,22.1,24.2,0.1963963963963964,-666666666,0.0
45434,45545.0,41.7,44.1,0.2441108545034642,204100,0.00395053246307111
45439,22663.0,33.6,36.5,0.12299239222316145,83700,0.03688003391267486
45440,40281.0,38.6,43.2,0.27206081998370896,171800,0.007031400500866885
45449,24093.0,36.4,40.1,0.1275826852070076,104300,0.0010866940352571844
45458,45274.0,40.7,44.4,0.3077827522271967,231200,0.005438026394323231
45459,46295.0,47.3,51.0,0.26996696463272446,199100,0.009416195856873822
45502,33828.0,47.9,48.3,0.1471250432975407,164800,0.0
45503,26647.0,40.5,44.2,0.119498220331626,114000,0.005784832451499118
45504,27799.0,35.3,40.4,0.14520891115683993,118900,0.013135695348276693
45505,19355.0,37.2,39.8,0.04691950232348973,71900,0.01723725161599234
45506,20055.0,35.7,34.9,0.10376502608301202,70600,0.016115351993214587
45601,23422.0,39.2,43.5,0.10648881409621858,122500,0.006452793922474944
45612,18348.0,40.8,43.7,0.035215543412264724,92500,0.0
