,zipcode,RegionType,StateName,City,Metro,CountyName,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation
2342,10306,Zip,NY,New York,New York-Newark-Jersey City,Richmond County,564353.0,36961.0,42.6,45.2,0.17297548899999998,0.277669271
2343,10307,Zip,NY,New York,New York-Newark-Jersey City,Richmond County,620317.4167,39923.0,40.3,39.4,0.23200236,0.19547262199999998
2344,10308,Zip,NY,New York,New York-Newark-Jersey City,Richmond County,543893.1667,38608.0,40.0,45.2,0.218728388,0.26133196399999997
2345,10309,Zip,NY,New York,New York-Newark-Jersey City,Richmond County,590424.5833,41982.0,37.6,43.1,0.21791222300000002,0.238083212
2346,10310,Zip,NY,New York,New York-Newark-Jersey City,Richmond County,524472.6667,32884.0,38.2,39.1,0.191999487,0.31774751
2347,10312,Zip,NY,New York,New York-Newark-Jersey City,Richmond County,556309.4167,39200.0,40.5,42.7,0.204656212,0.22180424399999998
2348,10314,Zip,NY,New York,New York-Newark-Jersey City,Richmond County,538954.9167,36201.0,38.3,43.1,0.19658133,0.269180498
2349,10453,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,255280.6667,13993.0,28.5,32.1,0.097583056,0.652808801
2350,10454,Zip,NY,New York,New York-Newark-Jersey City,New York County,513421.1667,13394.0,28.0,31.1,0.059095697999999995,0.714330025
2351,10455,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,320635.8333,15012.0,27.4,34.6,0.08691923900000001,0.686120996
2352,10456,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,290718.9167,15315.0,28.7,32.7,0.09894759300000001,0.672245008
2353,10457,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,285165.0,15091.0,28.2,31.2,0.085199532,0.662246228
2354,10458,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,152960.1667,16992.0,27.6,30.4,0.101062618,0.665562116
2355,10459,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,331724.0,15770.0,28.0,34.1,0.106353776,0.657965797
2356,10460,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,258548.1667,15344.0,29.6,33.0,0.09228458,0.637331663
2357,10461,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,441514.4167,28845.0,36.8,39.2,0.165731036,0.45399301799999997
2358,10462,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,153992.6667,25705.0,34.7,37.6,0.160220161,0.629267082
2359,10463,Zip,NY,New York,New York-Newark-Jersey City,New York County,227282.0833,34911.0,36.0,43.4,0.209253685,0.562673314
2360,10464,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,507648.3333,49875.0,43.3,47.4,0.229773463,0.22143156100000003
2361,10465,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,431798.1667,34284.0,39.2,43.9,0.14858635,0.308402162
2362,10466,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,432471.75,24043.0,34.6,38.6,0.16230726,0.493326993
2363,10467,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,168004.4167,19100.0,32.5,34.7,0.132319786,0.627840909
