,zipcode,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation,clusters
7588,27239,132349.5833,25354.0,46.8,48.5,0.09784913699999999,0.015490096,0
7589,27242,119770.5833,16327.0,34.9,40.9,0.089965398,0.002364066,0
7590,27243,211624.0833,37535.0,49.7,47.1,0.202452153,0.018812709,0
7591,27244,172971.0,23876.0,32.3,22.9,0.178259217,0.0,0
7592,27248,121330.4167,20694.0,38.8,39.3,0.13636363599999998,0.0,0
7593,27249,162187.3333,27779.0,38.9,42.2,0.164990172,0.0,0
7594,27252,172008.1667,22448.0,35.4,43.6,0.073099415,0.0,0
7595,27253,156174.9167,27263.0,41.4,41.9,0.150791381,0.001840969,0
7596,27258,177206.5,26105.0,36.3,41.7,0.167135744,0.0,0
7597,27260,50764.5,14290.0,30.2,35.6,0.068252391,0.017894621,0
7598,27262,103275.6667,25674.0,32.2,37.7,0.20443814899999999,0.013159187,0
7599,27263,116579.5,23970.0,41.8,41.4,0.10782173099999999,0.0062372090000000005,0
7600,27265,168795.4167,32494.0,37.3,40.5,0.256643844,0.004747345,0
7601,27278,276096.8333,42401.0,42.1,44.6,0.22993776600000002,0.00552255,0
7602,27281,190830.5833,30489.0,50.1,48.2,0.148561614,0.0,0
7603,27282,194358.6667,34765.0,38.9,40.5,0.298234086,0.0,0
7604,27283,163945.0,30107.0,42.3,44.2,0.21144389800000002,0.0,0
7605,27284,176150.25,31974.0,41.5,43.9,0.225027187,0.000856196,0
7606,27288,67626.33333,21011.0,41.0,46.4,0.09167501300000001,0.0015144960000000002,0
7607,27291,184381.8333,27652.0,46.1,51.2,0.11219147300000001,0.0,0
7608,27292,119835.6667,21437.0,40.9,43.4,0.103300801,0.0068191680000000005,0
7609,27295,139258.8333,25287.0,41.1,44.7,0.123167587,0.003042778,0
7610,27298,137902.25,22880.0,43.9,43.7,0.10223463699999999,0.0,0
7611,27299,124861.0,18378.0,32.9,37.5,0.074921956,0.0,0
7612,27301,169024.75,28351.0,37.6,43.7,0.183830455,0.000220119,0
7613,27302,196011.0833,28113.0,35.1,38.7,0.210933812,0.01092233,0
7614,27305,71716.66667,24516.0,44.4,42.7,0.09458367,0.0,0
7615,27306,121347.5,23363.0,47.6,52.9,0.080175843,0.004598662,0
7616,27310,338726.5,46965.0,44.0,40.1,0.343364681,0.0,0
7617,27311,85927.66667,22802.0,45.5,53.0,0.0625,0.0,0
7618,27312,319478.25,43771.0,49.7,52.7,0.277285568,0.001895206,0
7619,27313,177643.0833,27687.0,45.3,51.1,0.138426626,0.0,0
7620,27314,162832.5833,20531.0,31.6,35.4,0.094026549,0.0,0
7621,27315,110368.75,27235.0,48.7,50.3,0.134507606,0.0,0
7622,27316,120110.0,19647.0,32.5,41.8,0.079118573,0.04714384,0
7623,27317,138556.0833,26894.0,39.3,40.0,0.11665795400000001,0.0,0
7624,27320,105948.9167,23278.0,42.3,45.2,0.112396694,0.0017842270000000004,0
7625,27325,84150.91667,21020.0,36.4,45.4,0.072403169,0.0,0
7626,27326,108257.8333,24562.0,46.5,49.5,0.081304348,0.0,0
7627,27330,141542.0833,24678.0,37.8,39.2,0.14898904300000002,0.0033337040000000003,0
7628,27332,154600.1667,23964.0,32.9,36.7,0.146776669,0.001828735,0
7629,27340,270518.5,38390.0,-666666666.0,-666666666.0,0.609756098,0.0,3
7630,27341,112430.8333,21208.0,39.2,44.7,0.082403433,0.0,0
7631,27343,299838.1667,34833.0,50.6,47.3,0.138018628,0.0,0
7632,27344,139980.8333,23542.0,35.5,40.9,0.10453664800000001,0.005874595,0
7633,27349,162885.3333,23838.0,40.4,41.4,0.122779519,0.00517943,0
7634,27350,147059.9167,24912.0,43.6,46.4,0.101050175,0.0,0
7635,27355,135105.5,39544.0,40.6,44.6,0.053927315,0.0,0
7636,27356,84870.75,24332.0,44.5,45.9,0.066863324,0.0,0
7637,27357,200202.8333,36159.0,41.2,38.0,0.133495568,0.0,0
7638,27358,310477.0,45164.0,43.5,42.7,0.292169848,0.0,0
7639,27360,119587.4167,23317.0,40.1,41.2,0.11479778,0.004950743,0
7640,27370,144210.6667,25731.0,44.7,43.7,0.133720394,0.00116296,0
7641,27371,111940.1667,20534.0,39.1,40.1,0.10092034300000001,0.0,0
7642,27376,227593.3333,37407.0,44.2,48.9,0.200854072,0.0,0
7643,27377,190638.8333,33763.0,42.7,40.3,0.257588604,0.0,0
7644,27379,89034.08333,18629.0,39.8,37.5,0.08788282300000001,0.0,0
7645,27401,78952.66667,18570.0,30.6,26.0,0.150865961,0.053172841,0
7646,27403,129117.5833,24022.0,26.8,24.7,0.266511267,0.010205037,0
7647,27405,106950.0,19374.0,34.7,35.4,0.123310864,0.019762097,0
7648,27406,121152.5833,22510.0,34.0,37.0,0.151053864,0.012680583999999998,0
7649,27407,134480.75,25526.0,34.5,33.5,0.223991826,0.011062128000000001,0
7650,27408,206562.9167,52774.0,41.4,45.9,0.36842105299999994,0.001343935,0
7651,27409,126085.1667,26779.0,30.6,33.6,0.23876427600000005,0.008870115999999999,0
7652,27410,218562.6667,39731.0,40.5,44.2,0.339541476,0.004627682,0
7653,27455,220611.75,46893.0,41.3,45.8,0.317716799,0.0016034579999999999,0
7654,27501,181803.8333,23971.0,33.4,36.0,0.139032375,0.0022568510000000003,0
7655,27502,354118.4167,44568.0,37.9,38.3,0.397834019,0.003800497,0
7656,27503,278078.9167,26684.0,45.1,48.6,0.113345196,0.0,0
