county,coordinates,percpopbroad,percpopwobroad,pctdsgt15000kandlt25000k_hi,pctdsgt25000kandlt50000k_hi,pctdsgt50000kandlt100000k_hi,pctdsgt100000kandlt1gig_hi,pctdsgt1gig_hi,dsgteq25,usgteq3,povpct,unemployment,,,,,,
Buchanan County,  (-91.83745828158598 42.47108243804937),55.9,44.1,44.1,10.4,2.1,42.7,0.8,55.9,67.8,10.7,4.8,,,,,,
Dubois County,  (-86.87970257562682 38.36427782875461),59.2,40.8,40.8,0.4,58.8,0,0,59.2,100,8,5.3,,,,,,
Elmore County,  (-115.46914859578038 43.35417470760185),76.2,23.8,22.7,2.1,57.2,18,0,77.3,100,14.4,7,,,,,,
Benzie County,  (-86.01505847136723 44.63910932273057),78.3,21.7,21.7,0,0,78.3,0,78.3,78.3,11.8,10.7,,,,,,
Greenup County,  (-82.92215370766199 38.54616410398836),96,4,4,21.1,53.8,21.1,0,96,100,16.4,8.4,,,,,,
Dawson County,  (-99.81946635088991 40.869876245076895),86.1,13.9,2.8,11,0.2,78.3,7.8,97.2,91.6,13.7,4.1,,,,,,
Fulton County,  (-89.18729157224998 36.55403725825794),68.3,31.7,31.7,0,68.3,0,0,68.3,100,31.2,15,,,,,,
Gooding County,  (-114.81166152460801 42.970943530825544),53.5,46.5,46,0.6,52.3,1.1,0,54,100,17.1,4.6,,,,,,
Marion County,  (-86.13826324760345 39.78163624227211),97,3,3,0.1,0,96.9,0,97,100,21.3,7.7,,,,,,
Floyd County,  (-85.9069924896379 38.31902044906015),96.6,3.4,3.4,0,96.6,0,0,96.6,100,11.6,6.9,,,,,,
Jefferson County,  (-112.31142051280216 43.82027224487651),69.4,30.6,28.8,2.7,37.6,30.9,0,71.2,100,11.5,5.2,,,,,,
Carlton County,  (-92.67716011607843 46.59232099537839),67.7,32.3,31.1,6.9,0.7,61.3,0,68.9,71.3,12.1,6.1,,,,,,
Essex County,  (-73.7724817113476 44.11702035144648),82.1,17.9,17.9,0.2,54.9,26.6,0.4,82.1,82.4,12,8.7,,,,,,
Llano County,  (-98.68429358357068 30.705816172728554),0,100,100,0,0,0,0,0,100,14.9,6.1,,,,,,
Yadkin County,  (-80.66532456782318 36.16044159733944),99.4,0.6,0.6,0,99.2,0.2,0,99.4,100,17.2,7.1,,,,,,
Niagara County,  (-78.74532089995398 43.200131751879),99.2,0.8,0.8,0,98.4,0.8,0,99.2,99.2,13.4,8,,,,,,
Seward County,  (-97.13966029208777 40.87240139861215),86,14,14,72.4,13.7,0,0,86,92,8.2,3.7,,,,,,
Southeast Fairbanks Census Area,  (-143.20692036236005 63.876958230970324),2.4,97.6,97.6,0,0,2.4,0,2.4,26.3,13.8,11.1,,,,,,
Falls County,  (-96.9363445546691 31.253543556237734),29.3,70.7,70.7,29.2,0,0,0.1,29.3,93.1,23.7,8.3,,,,,,
Aroostook County,  (-68.59874490413254 46.65913528172784),65.6,34.4,34.4,0,65.6,0,0,65.6,66.1,20.1,8.8,,,,,,
Golden Valley County,  (-103.84657771787029 46.94026181121455),1,99,99,0,0,1,0,1,100,10.7,2.5,,,,,,
Pottawatomie County,  (-96.94828060791001 35.20684527285939),84.9,15.1,15.1,6.5,0,78.4,0,84.9,84.9,17.5,5.2,,,,,,
Hendricks County,  (-86.50994544073161 39.76986908169743),87.4,12.6,12.6,1.5,1.9,84.1,0,87.4,100,6.4,5.9,,,,,,
Stanton County,  (-101.784271567642 37.563048555869315),99.1,0.9,0.9,99.1,0,0,0,99.1,99.1,11.5,3.4,,,,,,
Huntington County,  (-85.48831237018587 40.829075938008245),73.8,26.2,26.2,0,15.9,10.9,46.9,73.8,100,10.7,7.3,,,,,,
Shackelford County,  (-99.35401337392344 32.73587756203746),9.7,90.3,90.3,4.4,0,0,5.3,9.7,15.4,13.1,2.8,,,,,,
Stark County,  (-89.79757635812167 41.09327073670214),60.1,39.9,39.9,0,0,60.1,0,60.1,100,11.9,10.6,,,,,,
Faulkner County,  (-92.33201857409439 35.147325213550815),97.2,2.8,2.8,3.1,92.6,0.9,0.6,97.2,100,14.7,7,,,,,,
Scioto County,  (-82.99326887731874 38.80404082992347),82.4,17.6,17.6,0.2,82.2,0,0,82.4,82.4,27.2,11.5,,,,,,
Los Angeles County,  (-118.22470300022412 34.32134578962301),99.4,0.6,0.6,0.1,0,99.3,0,99.4,99.6,18.7,9.9,,,,,,
Jackson County,  (-95.79433877890241 39.41641541968059),35.9,64.1,64.1,0,35.4,0.5,0,35.9,37,10.3,5.6,,,,,,
Martin County,  (-86.80307722873613 38.707943497745035),25,75,75,12.5,12.5,0,0,25,100,13.5,5.9,,,,,,
Wade Hampton Census Area,  (-163.38442049763293 62.157044745026205),0,100,100,0,0,0,0,0,0,35.7,22.1,,,,,,
Amador County,  (-120.65129603755413 38.446387023123236),24.2,75.8,75.8,0,0.6,23.6,0,24.2,27.9,12.9,9.9,,,,,,
York County,  (-81.18407852315553 34.974645802609714),93.9,6.1,6.1,0.1,69.3,24.5,0,93.9,100,14.6,8.9,,,,,,
Russell County,  (-85.18428295655173 32.288062036748876),92.2,7.8,7.8,91,0.7,0.5,0,92.2,100,20.9,7.5,,,,,,
Plumas County,  (-120.83823476176684 40.004221717282036),0,100,100,0,0,0,0,0,0,14,12.6,,,,,,
Cuyahoga County,  (-81.65875380404516 41.42426021494017),98.9,1.1,1.1,0,79.1,19.8,0,98.9,98.9,19.6,7.7,,,,,,
Lassen County,  (-120.59474466772924 40.67336129657896),38.1,61.9,61.9,0,38.1,0,0,38.1,38.1,19.4,10.8,,,,,,
Ogemaw County,  (-84.1271072177423 44.33486042903056),85.4,14.6,14.6,1.4,0,84,0,85.4,85.4,21.4,11.2,,,,,,
Meade County,  (-86.21698223120556 37.96966337624192),83.3,16.7,16.7,0,82.1,1.2,0,83.3,100,12.6,8.9,,,,,,
Blaine County,  (-99.97677845340688 41.913117159433455),0,100,100,0,0,0,0,0,73.3,15.7,5.4,,,,,,
Garfield County,  (-98.9911182720622 41.91428954780174),0.6,99.4,96.2,3.2,0,0.6,0,3.8,0.6,11.8,3.4,,,,,,
Warren County,  (-73.84603736654726 43.56091887157472),92.6,7.4,7.4,0,74.9,0,17.6,92.6,92.7,13.3,7.6,,,,,,
Portage County,  (-81.19736816423722 41.167908468205454),95.9,4.1,1.4,3.5,94.6,0.1,0.4,98.6,95.9,14.2,7.2,,,,,,
Hancock County,  (-68.35862848274863 44.64373173075161),81.1,18.9,18.9,6.3,74.8,0,0,81.1,81.2,12.9,8.1,,,,,,
Essex County,  (-76.95204159676867 37.94303645863932),85.3,14.7,14.7,20.5,64.7,0,0,85.3,100,14.5,6.8,,,,,,
Hunt County,  (-96.08560238639775 33.1235669312211),52.5,47.5,46.2,0.1,53.3,0.4,0,53.8,61.9,20.5,6.6,,,,,,
Jefferson County,  (-83.89500601251518 30.437796679983368),15.2,84.8,57.1,35,7.9,0,0,42.9,15.2,18,6.2,,,,,,
Union County,  (-80.53061477552387 34.98836835481409),99.1,0.9,0.9,2.4,96.7,0,0,99.1,100,10.8,6.9,,,,,,
Yavapai County,  (-112.55384671571899 34.599699282882874),80.7,19.3,13.9,6.2,61,15.5,3.4,86.1,81.9,15.6,8,,,,,,
Sterling County,  (-101.0500745843094 31.82781912379699),0,100,100,0,0,0,0,0,100,11.8,3,,,,,,
Franklin County,  (-85.06053012872638 39.41429174842465),27.6,72.4,72.4,8.1,0,19.5,0,27.6,100,11.1,7.9,,,,,,
Sanilac County,  (-82.82063341194062 43.42376319505157),25.5,74.5,74.5,0.3,0,0.4,24.8,25.5,25.5,14.7,10.6,,,,,,
Pendleton County,  (-84.36004407408092 38.69570469472434),50.2,49.8,49.8,0,50.2,0,0,50.2,100,15.6,8.3,,,,,,
Ochiltree County,  (-100.81584130518347 36.27830533626765),92,8,8,1.3,90.7,0,0,92,99.6,10.7,3.3,,,,,,
Yell County,  (-93.41105962328164 35.00270727972052),65.2,34.8,30.6,4.2,37.2,20,8.1,69.4,100,17.4,6.3,,,,,,
Franklin County,  (-83.22919079605366 34.37559112332884),67.3,32.7,13.8,86.2,0,0,0,86.2,100,24.4,9.5,,,,,,
Allegany County,  (-78.0273068886108 42.25731951637203),75.8,24.2,24.2,0,75.8,0,0,75.8,75.8,18.3,7.6,,,,,,
Fannin County,  (-96.1066952078466 33.593875790086045),39.4,60.6,60.6,0,39.4,0,0,39.4,98.7,17.1,8.5,,,,,,
Waldo County,  (-69.14427891698315 44.50136648081119),58.5,41.5,41.5,6.4,52,0.2,0,58.5,58.5,15,7.6,,,,,,
Somerset County,  (-69.95882155631453 45.513602592746),59.2,40.8,40.8,5.5,52.5,1.2,0,59.2,60.5,17.3,9.3,,,,,,
LaMoure County,  (-98.53552135785536 46.456865141113134),100,0,0,0,0,100,0,100,100,9.7,2.3,,,,,,
Atlantic County,  (-74.66040811070202 39.477905450386544),95.9,4.1,4.1,0,0,95.9,0,95.9,95.9,15.1,12,,,,,,
Livingston County,  (-88.35351775109612 37.20997298242028),62.2,37.8,37.8,27.8,0,34.4,0,62.2,100,14.1,8.8,,,,,,
McKinley County,  (-108.26167812890426 35.58040415054203),30.9,69.1,69,0.1,0,30.9,0,31,100,35.8,9.3,,,,,,
McDonald County,  (-94.34823345309769 36.62865620391303),65.2,34.8,34.8,1.6,41.2,22.4,0,65.2,65.2,22.2,6.3,,,,,,
Lowndes County,  (-88.44324469752046 33.472934590581815),87.3,12.7,12.7,0,87.3,0,0,87.3,100,23.6,9.6,,,,,,
Monroe County,  (-91.20394824980734 34.677723232350374),43.3,56.7,37.4,19.3,43.2,0.1,0,62.6,100,28.1,8.3,,,,,,
Tunica County,  (-90.37532903335699 34.65198615845348),47.6,52.4,52.4,0.5,0,47.1,0,47.6,100,27.9,14.5,,,,,,
Gila County,  (-110.81196771893123 33.79996931530902),61.9,38.1,37.9,0.3,42.6,4.1,15,62.1,65.2,24.4,9.3,,,,,,
Jackson County,  (-88.6353787032793 30.534679520424106),89.2,10.8,10.8,0.2,88.6,0.4,0,89.2,100,15.6,9,,,,,,
Jefferson County,  (-78.99967226080821 41.12829656712147),90.1,9.9,9.9,12.7,1.5,75.9,0,90.1,90.1,13.3,7.7,,,,,,
Wabaunsee County,  (-96.20480434981239 38.953246784532006),20.8,79.2,70.7,8.5,0,20.8,0,29.3,20.8,9.6,5.4,,,,,,
Pamlico County,  (-76.72927677703127 35.14691783919228),86.3,13.7,13.6,0,82.1,4.2,0,86.4,100,17.9,8.9,,,,,,
Ransom County,  (-97.65742504344882 46.45621781976601),71.4,28.6,27.5,0,1.1,71.4,0,72.5,100,8.4,2.9,,,,,,
Mason County,  (-82.02651429053344 38.76980880249017),43.1,56.9,56.9,0.5,0,30.2,12.4,43.1,100,20.6,10.1,,,,,,
Cheyenne County,  (-102.60363653341561 38.82780722729989),0,100,100,0,0,0,0,0,99.6,13.4,3.5,,,,,,
Holt County,  (-95.21504754155679 40.09449219845758),0.4,99.6,99.6,0,0,0.4,0,0.4,0.4,14.4,4.8,,,,,,
Skamania County,  (-121.91489154714222 46.02280968900456),41.2,58.8,58.8,0,0,39,2.2,41.2,41.2,12.6,10.7,,,,,,
Ingham County,  (-84.37346606710386 42.59737277675838),100,0,0,0,0,0,100,100,100,20.1,7.5,,,,,,
Barren County,  (-85.93377067194675 36.96546022349179),59,41,41,45.1,0,13.8,0,59,100,19.5,8.2,,,,,,
Coffey County,  (-95.73407586991978 38.236772531565286),57.8,42.2,39.7,2.5,0,57.8,0,60.3,57.8,10.9,5.2,,,,,,
Greene County,  (-93.34188306723597 37.257586469609734),89.5,10.5,5.5,11.7,0,82.7,0,94.5,89.6,20.6,5.4,,,,,,
Perry County,  (-89.82456268536487 37.70718892435626),52.8,47.2,47.2,52.5,0,0.3,0,52.8,52.8,11.6,4.6,,,,,,
Liberty County,  (-84.88318824604093 30.241458559002076),0.4,99.6,99.6,0,0.4,0,0,0.4,0.4,24.7,6,,,,,,
Wayne County,  (-81.88780786594779 40.829267050056224),49.2,50.8,33.6,19.9,27.1,19.4,0,66.4,49.5,13.9,6.3,,,,,,
Arkansas County,  (-91.37520643327414 34.290768386744645),7.1,92.9,28.1,64.7,0,0,7.1,71.9,100,20.4,6.7,,,,,,
Castro County,  (-102.26170812938129 34.530040507080045),57.4,42.6,42.6,57,0,0,0.3,57.4,57.6,19.4,5.5,,,,,,
Camp County,  (-94.97868645488529 32.973743489335924),47.5,52.5,52.4,0.1,0,32.1,15.4,47.6,48.1,23.9,7.1,,,,,,
Clarke County,  (-83.36755873037143 33.950978406347765),99.2,0.8,0.8,0,0,99.2,0,99.2,100,37.8,6.4,,,,,,
Delta County,  (-95.67114037375963 33.38664358474852),0,100,100,0,0,0,0,0,14.9,20,7.2,,,,,,
Charlton County,  (-82.13757286253734 30.78157219830052),78.8,21.2,21.2,78.7,0,0.1,0,78.8,100,29.5,10.3,,,,,,
Le Flore County,  (-94.70338293281719 34.90011476581421),64.8,35.2,35.2,41.2,1.2,19.7,2.8,64.8,65,24,8.8,,,,,,
Washington County,  (-103.20150407812997 39.971098806443386),14.1,85.9,85.9,14.1,0,0,0,14.1,15.9,11.4,4.5,,,,,,
Harrison County,  (-95.81703481019652 41.68336174419768),55.7,44.3,43.9,56,0,0.1,0,56.1,97.1,11,4,,,,,,
Henderson County,  (-82.48021492065779 35.33655767751339),81.8,18.2,18.2,0.4,0,1.4,80,81.8,100,12.9,6,,,,,,
Knox County,  (-87.41778157581344 38.68954718307476),66.7,33.3,33.3,5.9,11.8,0,49,66.7,100,17.4,6.2,,,,,,
San Juan County,  (-122.95346310347433 48.578563256469664),100,0,0,77.8,22.1,0.1,0,100,100,12.7,5.9,,,,,,
Corson County,  (-101.19678166832996 45.708513200762894),83.3,16.7,16.7,83.3,0,0,0,83.3,84.9,38.6,7.3,,,,,,
Hidalgo County,  (-98.18144325549432 26.396672261167467),88.5,11.5,11.5,87.8,0.1,0,0.5,88.5,88.7,33.5,10.8,,,,,,
Jackson County,  (-86.03756073511258 38.90634215375188),75.6,24.4,24.4,0.2,3.9,19.7,51.8,75.6,100,14.9,6.2,,,,,,
Wayne County,  (-88.69588403905271 31.640779536559645),2.2,97.8,97.8,2.2,0,0,0,2.2,100,24.7,10.8,,,,,,
Fentress County,  (-84.93261549960185 36.38051819540388),92.7,7.3,3.1,6.6,2.2,13.7,74.4,96.9,100,28.1,9.2,,,,,,
Jefferson County,  (-94.1630711272938 29.883375780679387),90.5,9.5,9.5,90.1,0.4,0,0,90.5,90.5,21.2,10.5,,,,,,
Greene County,  (-74.1227954858232 42.276380261396355),11.4,88.6,19.7,69.2,11,0,0,80.3,11.4,11.1,8.2,,,,,,
Harney County,  (-118.96796253884872 43.06361842908741),0,100,100,0,0,0,0,0,0,21.3,12.3,,,,,,
Norton County,  (-99.90284945928674 39.78448105958332),73.9,26.1,26.1,0,0,0,73.9,73.9,73.9,13.5,3.5,,,,,,
Lake County,  (-89.49340327614021 36.33529913977152),55.8,44.2,44.2,55.8,0,0,0,55.8,100,41.9,10.4,,,,,,
Erath County,  (-98.21770883693631 32.23614282461063),80.6,19.4,10.5,89.5,0,0,0,89.5,89.4,21.8,5.7,,,,,,
Maverick County,  (-100.31470825262436 28.74262554827808),97.5,2.5,2.5,97.5,0,0,0,97.5,97.5,26.5,12.6,,,,,,
McClain County,  (-97.44298085663728 35.00888537512522),80.3,19.7,14.2,38.6,30.9,13,3.4,85.8,81.2,10.2,4.8,,,,,,
Floyd County,  (-101.3031545883489 34.07227468206402),52,48,48,0.1,48,0,3.9,52,99.9,23.7,9.4,,,,,,
Stevens County,  (-101.3119047917408 37.19230821940283),99.7,0.3,0.3,99.7,0,0,0,99.7,99.7,9.7,3.7,,,,,,
Tattnall County,  (-82.05794341173466 32.04578293401157),80.2,19.8,19.8,80.2,0,0,0,80.2,100,28.2,9.6,,,,,,
Clay County,  (-90.41718919042535 36.368225415632516),19.7,80.3,45.7,46.4,7.9,0,0,54.3,100,19.9,11.4,,,,,,
McCook County,  (-97.36854569486954 43.67426214401292),98.4,1.6,1.6,54.3,0.4,43.7,0,98.4,98.4,10,3.5,,,,,,
Terry County,  (-102.33545205994484 33.17402785412811),91.6,8.4,8.4,45.7,3.2,42.7,0,91.6,99.7,21.2,6.1,,,,,,
Rowan County,  (-83.42085187253399 38.19625130976003),99.4,0.6,0.6,5.8,93.6,0,0,99.4,100,23.4,7.5,,,,,,
Bethel Census Area,  (-159.8255996735942 60.91342739398327),0,100,100,0,0,0,0,0,0,23.8,15.4,,,,,,
Posey County,  (-87.86874522900763 38.02193910588366),37.7,62.3,62.3,1.3,36.4,0,0,37.7,100,10.7,6.5,,,,,,
LaPorte County,  (-86.74045399442412 41.545935595199175),88.8,11.2,11.2,0,0,88.8,0,88.8,100,17.9,9.4,,,,,,
Wilcox County,  (-83.43204775158124 31.97280478834096),86.2,13.8,13.8,86.2,0,0,0,86.2,100,30.7,11.9,,,,,,
Box Elder County,  (-113.08214561966399 41.520950183407535),83.4,16.6,16.5,0.1,0,35.3,48.1,83.5,100,11.6,5.1,,,,,,
Itasca County,  (-93.63162349046297 47.509078193833),73.8,26.2,26.1,6.3,23.2,44.4,0,73.9,74,14.7,7.5,,,,,,
Seneca County,  (-83.1275961279253 41.123782539180155),86.6,13.4,12.8,0.6,86.6,0,0,87.2,99.9,17.5,7.3,,,,,,
Gove County,  (-100.48294357737316 38.91587320627847),54.4,45.6,45.6,0,0,0.1,54.3,54.4,68.5,10.4,3,,,,,,
Clayton County,  (-91.34106377063635 42.84452651183872),51.6,48.4,48.4,9.1,2.5,40,0,51.6,52.1,10.8,5.8,,,,,,
Highland County,  (-83.60078719181206 39.18468334037251),70.2,29.8,29.8,0,70.2,0,0,70.2,75,19.3,9.7,,,,,,
Washington County,  (-67.6291077865965 45.021771858902405),74.7,25.3,25.3,0,74.7,0,0,74.7,91.3,18.5,9.8,,,,,,
Bremer County,  (-92.31795936898342 42.77461495770453),74,26,26,2.1,4.7,66.9,0.2,74,74.9,7.6,3.8,,,,,,
Pine County,  (-92.74140502312106 46.12071071060585),47.9,52.1,51.1,1.5,22.6,24.7,0,48.9,47.9,17.5,7.5,,,,,,
Kinney County,  (-100.41790547779682 29.35014051546366),0,100,100,0,0,0,0,0,0,21,7.8,,,,,,
Sierra County,  (-120.5162323788772 39.580198917872345),1.6,98.4,98.4,0,0,1.6,0,1.6,1.6,13.8,13,,,,,,
Trinity County,  (-123.1126773399624 40.65059444285653),0,100,100,0,0,0,0,0,0,19.9,12.8,,,,,,
Franklin County,  (-88.92397029950565 37.9920225662985),46.6,53.4,53.4,9.5,5.1,32,0,46.6,100,19.9,12.7,,,,,,
McKenzie County,  (-103.39542646106227 47.740276739732074),84.8,15.2,15.2,1,0,15.5,68.3,84.8,100,8.6,1.4,,,,,,
Emery County,  (-110.70049245243746 38.99637447721197),96.4,3.6,3.6,0.9,0,1.6,93.8,96.4,100,12.9,6,,,,,,
York County,  (-70.71431650202256 43.47829058646228),99.2,0.8,0.8,0,83.3,15.9,0,99.2,99.2,11.2,6.2,,,,,,
Lehigh County,  (-75.59214444000735 40.61280627012051),99.9,0.1,0.1,0,0,0.1,99.9,99.9,99.9,12.8,7.8,,,,,,
Jackson County,  (-106.34270760561363 40.66623861261837),0,100,100,0,0,0,0,0,0,16.6,3.6,,,,,,
Poinsett County,  (-90.6628250665419 35.574083825117356),53.1,46.9,45.8,1,45.2,7.9,0,54.2,100,21.9,8.3,,,,,,
Lampasas County,  (-98.24167560036 31.19624806602395),20.3,79.7,79.7,16.7,0,0.2,3.4,20.3,20.3,14.4,6.9,,,,,,
Kodiak Island Borough,  (-153.77502787425811 57.66653701787829),0,100,100,0,0,0,0,0,0,8.3,5.6,,,,,,
Allegany County,  (-78.6987113633308 39.62117262750049),87.6,12.4,12.4,0,60.3,27.3,0,87.6,100,18.5,7.8,,,,,,
Brazos County,  (-96.30208322143895 30.660742211154325),86.8,13.2,12.9,2.9,0,39.5,44.6,87.1,100,26.4,4.9,,,,,,
Washington County,  (-77.81329014332054 39.60413752130172),94.1,5.9,5.9,0,85,9.1,0,94.1,100,13.8,8,,,,,,
Motley County,  (-100.77972203673984 34.07408766101895),1.5,98.5,98.5,0,0,1.5,0,1.5,98.8,17.5,5.4,,,,,,
Quitman County,  (-90.28933633667147 34.251207373360465),61.1,38.9,38.9,0,51.1,10,0,61.1,100,36.2,13.3,,,,,,
Live Oak County,  (-98.12498407920931 28.351377708869368),99.5,0.5,0.5,61.8,37.7,0,0,99.5,99.5,15.5,4,,,,,,
Menominee County,  (-87.55660994336505 45.580369881918294),62.3,37.7,37.7,0,49.2,13.1,0,62.3,62.6,14.5,7.1,,,,,,
Breckinridge County,  (-86.42936466025022 37.7732385016149),0.4,99.6,99.6,0,0,0.4,0,0.4,100,19.2,7.9,,,,,,
Custer County,  (-114.28164274310427 44.241473063616816),38.3,61.7,61.7,0,38.3,0,0,38.3,100,15.7,7.8,,,,,,
Knox County,  (-97.89176183202645 42.63684531276293),0.2,99.8,99.8,0.2,0,0,0,0.2,2.2,14.9,3.5,,,,,,
Choctaw County,  (-95.55375412162002 34.025570704541664),2,98,98,0,0,0,2,2,11.1,26.8,7,,,,,,
East Carroll Parish,  (-91.235075695127 32.73239581874955),0,100,100,0,0,0,0,0,100,43,14.2,,,,,,
Custer County,  (-99.72614483986494 41.39416503301091),13.1,86.9,47.7,0.8,38.4,0,13.1,52.3,19.1,13.4,2.6,,,,,,
