zipcode,State,City,CountyName,Average RE Prices,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation
01379,MA,Wendell,Franklin County,199664.0,32988.0,50.3,52.6,0.281437126,0.018229167
01420,MA,Fitchburg,Worcester County,212747.75,26190.0,35.2,37.0,0.141377741,0.022989119
01430,MA,Ashburnham,Worcester County,269312.5,37771.0,37.9,40.9,0.275862069,0.012474616
01431,MA,Ashby,Middlesex County,276002.1667,37829.0,45.4,47.7,0.175866496,0.009976526
01432,MA,Ayer,Middlesex County,351473.1667,46314.0,38.7,39.7,0.26355369,0.027910852
01434,MA,Devens,Worcester County,358382.1667,19659.0,45.1,34.5,0.18031746,0.027237354
01436,MA,Baldwinville,Worcester County,237699.0833,31615.0,38.9,42.3,0.169026953,0.0
01440,MA,Gardner,Worcester County,201154.9167,27491.0,40.6,41.6,0.121749729,0.010981042
01450,MA,Groton,Middlesex County,483576.75,54498.0,45.6,43.8,0.396391753,0.040274358
01451,MA,Harvard,Worcester County,634110.1667,68615.0,46.5,46.1,0.362543499,0.070785071
01452,MA,Hubbardston,Worcester County,273428.5833,39958.0,46.6,47.1,0.194503817,0.00644672
01453,MA,Leominster,Worcester County,265002.9167,32012.0,39.8,40.8,0.199596567,0.013167311
01460,MA,Littleton,Middlesex County,480400.6667,52392.0,40.1,45.8,0.287073864,0.037058709
01462,MA,Lunenburg,Worcester County,320565.8333,43112.0,45.2,44.5,0.196768537,0.011921216
01463,MA,Pepperell,Middlesex County,361216.0,43882.0,41.3,44.7,0.254766444,0.012320649
01464,MA,Shirley,Middlesex County,337076.4167,32353.0,42.2,49.3,0.185508219,0.051602564
01468,MA,Templeton,Worcester County,226306.0,39850.0,44.6,43.9,0.207674944,0.0
01469,MA,Townsend,Middlesex County,294974.4167,37414.0,37.4,38.6,0.225423399,0.013732834
01473,MA,Westminster,Worcester County,298955.75,42700.0,42.8,46.0,0.256972112,0.034869544
01474,MA,Townsend,Middlesex County,301474.3333,52482.0,50.2,46.9,0.208955224,0.0
01475,MA,Winchendon,Worcester County,215618.3333,31098.0,35.4,42.2,0.123441734,0.005833481
01501,MA,Auburn,Worcester County,276759.5,41138.0,45.3,47.3,0.254665471,0.006081871
01503,MA,Berlin,Worcester County,415524.5,48666.0,44.2,50.2,0.289299868,0.013414634
01504,MA,Blackstone,Worcester County,298267.75,37798.0,40.6,42.4,0.220560453,0.005997819
01505,MA,Boylston,Worcester County,381929.0,46857.0,42.3,46.3,0.348778961,0.006740682
01506,MA,Brookfield,Worcester County,253226.8333,39360.0,41.0,45.5,0.209069946,0.001119194
01507,MA,Charlton,Worcester County,312598.0,41064.0,43.7,41.4,0.240008759,0.002304147
01510,MA,Clinton,Worcester County,279452.1667,34020.0,37.3,40.0,0.255660766,0.004256966
01515,MA,East Brookfield,Worcester County,265207.8333,34737.0,39.5,42.5,0.216514954,0.004205214
01516,MA,Douglas,Worcester County,331516.4167,37792.0,41.5,42.6,0.262246326,0.005233494
01518,MA,Fiskdale,Worcester County,313518.0,37429.0,38.4,38.1,0.26942212,0.0
01519,MA,Grafton,Worcester County,401320.8333,47808.0,43.8,43.2,0.305636138,0.033232628
01520,MA,Holden,Worcester County,332782.0,45766.0,40.2,45.0,0.308137931,0.004899032
01521,MA,Holland,Hampden County,218455.8333,36563.0,43.6,45.8,0.173289183,0.0
01522,MA,Holden,Worcester County,312667.1667,47005.0,37.2,41.9,0.300569801,0.0
01523,MA,Lancaster,Worcester County,352710.5833,35596.0,34.9,47.0,0.241677396,0.016618911
01524,MA,Leicester,Worcester County,256000.6667,34491.0,43.0,45.2,0.172805725,0.002307692
01525,MS,Bay Springs,Jasper County,193645.3636,21424.0,27.9,24.6,0.151785714,0.0
01527,MA,Millbury,Worcester County,304158.5,41066.0,41.4,44.2,0.192604972,0.007004532
01529,MA,Millville,Worcester County,304710.5833,38029.0,38.6,44.0,0.198391421,0.027888446
01531,MA,New Braintree,Worcester County,284126.0833,38908.0,49.0,45.5,0.200431034,0.004724409
01532,MA,Northborough,Worcester County,427570.25,56781.0,43.4,43.9,0.330930411,0.011044418
01534,MA,Northbridge,Worcester County,357740.25,43207.0,44.2,43.6,0.201499118,0.013441613
01535,MA,North Brookfield,Worcester County,238365.0833,33347.0,45.5,38.8,0.141962422,0.016003123
01536,MA,Grafton,Worcester County,347755.6667,47821.0,37.4,39.8,0.238258224,0.036677192
01537,MA,Oxford,Worcester County,226472.8333,33483.0,32.7,39.5,0.27266881,0.000800641
01540,MA,Oxford,Worcester County,254504.9167,32791.0,40.8,39.6,0.192109562,0.00837576
01541,MA,Princeton,Worcester County,382376.8333,61008.0,46.5,50.1,0.303852201,0.005197505
01542,MA,Leicester,Worcester County,270221.9167,39537.0,40.4,43.8,0.147465438,0.02553542
01543,MA,Rutland,Worcester County,309123.8333,39299.0,36.8,43.4,0.29984051,0.0
01545,MA,Shrewsbury,Worcester County,416767.25,47333.0,39.7,44.0,0.303431764,0.032437885
01550,MA,Southbridge,Worcester County,208377.1667,26662.0,39.2,40.6,0.108786611,0.002898185
01560,MA,Grafton,Worcester County,369800.4167,44313.0,37.3,41.5,0.28883812,0.045272969
01562,MA,Spencer,Worcester County,253992.5833,33055.0,43.4,46.9,0.145123967,0.005180534
01564,MA,Sterling,Worcester County,357194.8333,48371.0,45.1,48.0,0.283786122,0.006982904
01566,MA,Sturbridge,Worcester County,297500.4167,48136.0,45.8,42.5,0.282161888,0.008827684
01568,MA,Upton,Worcester County,444877.75,50072.0,40.2,41.7,0.373338326,0.012964348
01569,MA,Uxbridge,Worcester County,324490.1667,38532.0,39.2,43.7,0.22728705,0.001474333
01570,MA,Webster,Worcester County,255009.3333,30919.0,41.2,41.5,0.171998681,0.004219918
01571,MA,Dudley,Worcester County,273157.8333,30831.0,34.2,39.9,0.187811113,0.005376344
01581,MA,Westborough,Worcester County,462023.9167,50853.0,37.4,40.5,0.357913256,0.033446954
01583,MA,West Boylston,Worcester County,306583.5,30559.0,37.0,48.7,0.181970791,0.005700036
01585,MA,West Brookfield,Worcester County,251929.6667,36273.0,45.8,49.3,0.212001132,0.014680484
01588,MA,Northbridge,Worcester County,285654.1667,34008.0,36.9,39.1,0.216728281,0.0
01590,MA,Sutton,Worcester County,396139.6667,46409.0,42.9,45.6,0.260803408,0.004251208
01602,MA,Worcester,Worcester County,252544.9167,34241.0,37.7,42.8,0.260890877,0.020567205
01603,MA,Worcester,Worcester County,216219.3333,23165.0,35.0,37.1,0.1132223,0.031416788
01604,MA,Worcester,Worcester County,233945.5833,28104.0,33.7,35.1,0.194953951,0.018574466
01605,MA,Worcester,Worcester County,247226.3333,21630.0,31.0,33.2,0.161941748,0.038366862
01606,MA,Worcester,Worcester County,248910.9167,34799.0,40.4,42.9,0.220121398,0.018211088
01607,MA,Worcester,Worcester County,220361.75,25738.0,35.2,39.6,0.170292819,0.02446184
01608,MA,Worcester,Worcester County,73521.16667,16892.0,28.5,26.9,0.143901325,0.095382286
01609,MA,Worcester,Worcester County,308071.6667,31983.0,30.9,36.8,0.220721769,0.031298346
01610,MA,Worcester,Worcester County,190193.75,17590.0,27.9,28.2,0.104969377,0.063084598
01611,MA,Leicester,Worcester County,229456.75,37807.0,36.5,40.6,0.221940393,0.0
01612,MA,Paxton,Worcester County,322041.4167,43782.0,34.8,44.5,0.286869944,0.013007489
01701,MA,Framingham,Middlesex County,453007.4167,53652.0,45.6,46.9,0.33434319,0.034076993
01702,MA,Framingham,Middlesex County,353697.8333,30787.0,34.5,36.2,0.219721369,0.047940075
01718,MA,Acton,Middlesex County,335439.8333,50641.0,41.4,39.5,0.480885312,0.164
01719,MA,Boxboro,Middlesex County,480111.25,55571.0,41.3,43.7,0.297042008,0.06627071
01720,MA,Acton,Middlesex County,588626.6667,62794.0,43.1,45.2,0.306525327,0.068392347
01721,MA,Ashland,Middlesex County,417392.1667,52652.0,39.3,42.6,0.299903257,0.076614922
01730,MA,Bedford,Middlesex County,717994.1667,61653.0,43.2,42.2,0.311889837,0.02307917
01740,MA,Bolton,Worcester County,544468.6667,56557.0,41.1,45.3,0.356956143,0.034990792
01741,MA,Carlisle,Middlesex County,827411.5833,85227.0,47.8,48.7,0.363233666,0.029995775
01742,MA,Concord,Middlesex County,891852.0,69472.0,44.1,48.4,0.274618088,0.076591553
01745,MA,Southborough,Worcester County,407913.9167,44785.0,36.0,31.1,0.276836158,0.044520548
01746,MA,Holliston,Middlesex County,487748.5833,57253.0,42.6,41.9,0.36684321,0.045263827
01747,MA,Hopedale,Worcester County,325732.9167,42756.0,44.0,45.4,0.346953236,0.038385175
01748,MA,Hopkinton,Middlesex County,598174.25,66704.0,41.4,41.8,0.368142198,0.067125451
01749,MA,Hudson,Middlesex County,385652.1667,41888.0,41.2,45.9,0.247140998,0.013483965
01752,MA,Marlborough,Middlesex County,364522.75,40677.0,39.7,40.8,0.239644351,0.018538905
01754,MA,Maynard,Middlesex County,388012.25,49298.0,43.5,45.5,0.265519439,0.026033943
01756,MA,Mendon,Worcester County,431160.5833,54512.0,47.2,43.3,0.302331229,0.056472632
01757,MA,Milford,Worcester County,342122.6667,37623.0,38.9,41.3,0.235253399,0.016165535
01760,MA,Natick,Middlesex County,598084.25,57945.0,38.0,42.5,0.327302113,0.091437468
01770,MA,Sherborn,Middlesex County,808743.5,79952.0,47.8,44.8,0.331761536,0.101856043
01772,MA,Southborough,Worcester County,609292.1667,66904.0,43.1,43.9,0.373985034,0.0484394
01773,MA,Lincoln,Middlesex County,1007038.417,90195.0,56.1,54.1,0.268898488,0.12369338
01775,MA,Stow,Middlesex County,526006.5833,60306.0,42.7,43.0,0.336045056,0.021878335
01776,MA,Sudbury,Middlesex County,748929.8333,75699.0,44.2,44.6,0.357610083,0.042380523
01778,MA,Wayland,Middlesex County,732326.4167,80323.0,41.5,45.2,0.371199324,0.048387097
01801,MA,Woburn,Middlesex County,505583.6667,41720.0,39.3,42.4,0.271973409,0.04372919
01803,MA,Burlington,Middlesex County,578692.9167,48663.0,40.3,42.6,0.3080348,0.036748654
01810,MA,Andover,Essex County,617424.3333,66268.0,41.9,42.3,0.344299729,0.050727465
01821,MA,Billerica,Middlesex County,444816.75,41656.0,39.0,41.8,0.242210841,0.032899395
01824,MA,Chelmsford,Middlesex County,451705.0,51927.0,41.9,46.1,0.311937901,0.024567322
01826,MA,Dracut,Middlesex County,352405.5833,37188.0,37.8,40.5,0.176096542,0.019687179
01827,MA,Dunstable,Middlesex County,500735.5,54832.0,44.8,45.8,0.335118251,0.005488474
01830,MA,Haverhill,Essex County,333650.6667,31572.0,36.3,38.8,0.176892171,0.053987271
01832,MA,Haverhill,Essex County,308290.75,32485.0,36.0,37.4,0.207317841,0.044593462
01833,MA,Georgetown,Essex County,491070.1667,52277.0,41.7,46.1,0.327044025,0.011850312
01834,MA,Groveland,Essex County,433037.0,40346.0,42.3,47.1,0.275649494,0.01878453
01835,MA,Haverhill,Essex County,344371.5833,36886.0,37.8,38.9,0.243567187,0.01671542
01840,MA,Lawrence,Essex County,148044.5833,18315.0,33.2,33.5,0.092844974,0.076846802
01841,MA,Lawrence,Essex County,257720.8333,17408.0,29.0,33.4,0.061199385,0.041781816
01843,MA,Lawrence,Essex County,288121.0,22281.0,30.7,32.7,0.089668982,0.036715621
01844,MA,Methuen,Essex County,366255.75,34390.0,38.2,41.2,0.176278755,0.015210827
01845,MA,North Andover,Essex County,518309.75,54587.0,36.5,43.3,0.351888277,0.036977903
01850,MA,Lowell,Middlesex County,258345.75,21355.0,28.6,31.9,0.084447994,0.0312262
01851,MA,Lowell,Middlesex County,306583.8333,25587.0,33.4,35.1,0.14486027,0.036740492
01852,MA,Lowell,Middlesex County,286175.0833,29089.0,35.6,37.5,0.161632619,0.039017686
01854,MA,Lowell,Middlesex County,284033.5,21273.0,26.8,31.9,0.11571554,0.036666917
01860,MA,Merrimac,Essex County,405615.3333,44838.0,48.5,46.8,0.294548413,0.029176989
01862,MA,Billerica,Middlesex County,439121.75,36545.0,40.9,44.7,0.180645161,0.034638554
01863,MA,Chelmsford,Middlesex County,342164.8333,47154.0,42.4,46.8,0.233703815,0.024111675
01864,MA,North Reading,Middlesex County,562113.0833,53748.0,42.2,45.2,0.293958032,0.036122331
01867,MA,Reading,Middlesex County,606536.9167,50776.0,40.4,45.9,0.326288952,0.099189676
01876,MA,Tewksbury,Middlesex County,432373.4167,43480.0,41.6,46.3,0.234477787,0.034641343
01879,MA,Tyngsboro,Middlesex County,395635.1667,46319.0,40.5,42.3,0.32125769,0.013679111
01880,MA,Wakefield,Middlesex County,556139.8333,47970.0,43.5,45.8,0.307657499,0.081696247
01886,MA,Westford,Middlesex County,546143.25,53692.0,43.7,41.9,0.341830603,0.027085504
01887,MA,Wilmington,Middlesex County,522701.0833,47330.0,40.2,42.8,0.246152914,0.049801543
01890,MA,Winchester,Middlesex County,1009051.25,77433.0,40.8,44.6,0.299160553,0.110594457
01901,MA,Lynn,Essex County,279038.25,18532.0,37.5,41.6,0.105998357,0.340876945
01902,MA,Lynn,Essex County,324590.4167,23167.0,31.6,34.0,0.121429245,0.147220577
01904,MA,Lynn,Essex County,389521.4167,35302.0,37.2,39.2,0.168848607,0.082740022
01905,MA,Lynn,Essex County,352945.0833,25769.0,31.4,36.5,0.123504247,0.113997458
01906,MA,Saugus,Essex County,448363.5833,37950.0,43.4,48.5,0.191799894,0.072746114
01907,MA,Swampscott,Essex County,518249.9167,57652.0,44.4,44.9,0.29812429,0.133186357
01908,MA,Nahant,Essex County,625236.8333,59385.0,51.5,54.0,0.302506177,0.095528455
01913,MA,Amesbury,Essex County,370710.0833,40713.0,39.7,45.7,0.248968697,0.018937455
01915,MA,Beverly,Essex County,469606.1667,45358.0,41.9,42.1,0.300453827,0.090909091
01921,MA,Boxford,Essex County,670140.3333,72832.0,47.5,45.4,0.323157895,0.017134698
01922,MA,Newbury,Essex County,532357.1667,48117.0,44.0,46.9,0.394887616,0.038986355
01923,MA,Danvers,Essex County,469644.0833,41545.0,43.0,46.8,0.257580336,0.027099317
01929,MA,Essex,Essex County,558401.25,52604.0,47.6,44.8,0.326721557,0.092761394
01930,MA,Gloucester,Essex County,467625.1667,41201.0,48.1,51.4,0.234927505,0.032698648
01938,MA,Ipswich,Essex County,524523.1667,48927.0,46.9,49.8,0.292087626,0.04636126
01940,MA,Lynnfield,Essex County,681307.5833,59658.0,43.6,42.6,0.321842818,0.022333572
